,times
"('Sum', 'Constant')",253
"('PermuteDimensions', 'Product')",7
"('Sqrt', 'PermuteDimensions')",2
"('Sqrt', 'Sum')",110
"('Product', 'PermuteDimensions')",4
"('Sum', 'PermuteDimensions')",40
"('PermuteDimensions', 'Sum')",44
"('Product', 'DiscreteFir')",43
"('ComplexToRealImag', 'Product')",4
"('DiscreteFir', 'Sum')",9
"('Sqrt', 'UnitDelay')",7
"('Sum', 'UnitDelay')",4
"('Sum', 'ComplexToMagnitudeAngle')",119
"('DiscreteIntegrator', 'Sum')",16
"('Squeeze', 'Sqrt')",4
"('ComplexToMagnitudeAngle', 'Scope')",3
"('Sum', 'Squeeze')",134
"('Scope', 'Delay')",3
"('Step', 'Product')",2
"('Step', 'UnitDelay')",2
"('Step', 'Scope')",2
"('Rounding', 'Product')",4
"('Rounding', 'DiscreteIntegrator')",4
"('DiscreteIntegrator', 'DataTypeConversion')",9
"('UnitDelay', 'Math')",2
"('Math', 'Reference')",14
"('DiscreteFir', 'Scope')",2
"('DiscreteZeroPole', 'Sqrt')",6
"('Sin', 'Outport')",53
"('Sin', 'Sqrt')",8
"('Reference', 'Sin')",11
"('Delay', 'SubSystem')",505
"('Reference', 'Bias')",61
"('Bias', 'Delay')",29
"('Inport', 'Bias')",62
"('Constant', 'Polyval')",13
"('Polyval', 'Bias')",2
"('Bias', 'Outport')",21
"('Constant', 'Bias')",8
"('Bias', 'Inport')",11
"('DiscreteFilter', 'Product')",70
"('Outport', 'DiscreteFilter')",166
"('Outport', 'Product')",171
"('DiscreteFilter', 'Constant')",10
"('Sqrt', 'Polyval')",36
"('Sqrt', 'DiscreteFilter')",116
"('Product', 'Polyval')",48
"('DiscreteFilter', 'Outport')",254
"('Sum', 'DiscreteFilter')",71
"('Product', 'DiscreteFilter')",74
"('Polyval', 'Outport')",65
"('Outport', 'Polyval')",45
"('DiscreteFilter', 'Sum')",55
"('Polyval', 'Sqrt')",30
"('Constant', 'DiscreteFilter')",20
"('Polyval', 'Constant')",8
"('DiscreteIntegrator', 'Inport')",20
"('Sum', 'MinMax')",148
"('Sin', 'DiscreteIntegrator')",4
