,CloneContent,CloneDetection,CyclomaticComplexity,DescriptiveBlockNames,DiagnosticWarningsCount,ExplicitIOCount,FileCount,IOCount,LayerSeparation,LibraryContent,LibraryLinkCount,MatlabCodeAnalyzerWarnings,MatlabFunctionCount,MatlabLOCCount,ModelAdvisorCheckCompliance.hisl_do178,ModelAdvisorCheckCompliance.maab,ModelAdvisorCheckIssues.hisl_do178,ModelAdvisorCheckIssues.maab,ModelFileCount,ParameterCount,SimulinkBlockCount,StateflowChartCount,StateflowChartObjectCount,StateflowLOCCount,SubSystemCount,SubSystemDepth
Sample595.mdl,0.0,0.0,0.05660377358490566,0.0,0.09433962264150943,0.22641509433962265,0.018867924528301886,0.22641509433962265,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.06708595387840671,0.06834674759203063,0.6226415094339622,1.0,0.018867924528301886,0.0,0.6792452830188679,0.0,0.0,0.0,0.05660377358490566,0.0
Sample596.mdl,0.0,0.0,0.0,0.0,0.03225806451612903,0.25806451612903225,0.016129032258064516,0.25806451612903225,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.057526881720430106,0.05752312203925107,0.5161290322580645,1.0,0.016129032258064516,0.0,0.6774193548387096,0.0,0.0,0.0,0.04838709677419355,0.0
Sample597.mdl,0.0,0.0,0.0,0.0,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.09090909090909091,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.04848484848484849,0.0540368722186904,1.0,0.9393939393939394,0.030303030303030304,0.0,0.4545454545454546,0.0,0.0,0.0,0.030303030303030304,0.0
Sample598.mdl,0.0,0.0,0.06666666666666667,0.0,0.1,0.26666666666666666,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.05444444444444444,0.060139860139860134,1.0,0.9,0.03333333333333333,0.0,0.6,0.0,0.0,0.0,0.03333333333333333,0.0
Sample599.mdl,0.0,0.0,0.0625,0.0,0.0625,0.09375,0.03125,0.09375,0.1875,0.0,0.0,0.0,0.0,0.0,0.051041666666666666,0.05616258741258741,0.9375,1.0,0.03125,0.0,0.46875,0.0,0.0,0.0,0.03125,0.0
Sample6.mdl,0.0,0.0,0.021052631578947368,0.0,0.031578947368421054,0.17894736842105263,0.010526315789473684,0.17894736842105263,0.08421052631578947,0.0,0.0,0.0,0.0,0.0,0.046549707602339195,0.045344129554655874,0.3894736842105263,1.0,0.010526315789473684,0.0,0.6631578947368421,0.0,0.0,0.0,0.042105263157894736,0.0
Sample60.mdl,0.0,0.0,0.05128205128205128,0.0,0.07692307692307693,0.15384615384615385,0.02564102564102564,0.15384615384615385,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,0.040740740740740744,0.0457235072619688,0.8461538461538461,1.0,0.02564102564102564,0.0,0.5897435897435898,0.0,0.0,0.0,0.02564102564102564,0.0
Sample600.mdl,0.0,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.05232974910394265,0.05774870290999323,1.0,1.0,0.03225806451612903,0.0,0.5806451612903225,0.0,0.0,0.0,0.03225806451612903,0.0
Sample601.mdl,0.0,0.0,0.0,0.0,0.0,0.25,0.025,0.25,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0638888888888889,0.06713286713286713,0.8250000000000001,1.0,0.025,0.0,0.65,0.0,0.0,0.0,0.05,0.0
Sample602.mdl,0.0,0.0,0.02857142857142857,0.0,0.05714285714285714,0.15714285714285714,0.014285714285714285,0.15714285714285714,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.048412698412698414,0.049350649350649346,0.5571428571428572,1.0,0.014285714285714285,0.0,0.6142857142857142,0.0,0.0,0.0,0.04285714285714286,0.0
Sample603.mdl,0.0,0.0,0.028169014084507043,0.0,0.028169014084507043,0.23943661971830987,0.014084507042253521,0.23943661971830987,0.11267605633802817,0.0,0.0,0.0,0.0,0.0,0.048982785602503916,0.049443514232246626,0.49295774647887325,1.0,0.014084507042253521,0.0,0.647887323943662,0.0,0.0,0.0,0.04225352112676056,0.0
Sample604.mdl,0.0,0.0,0.02531645569620253,0.0,0.11392405063291139,0.20253164556962025,0.012658227848101266,0.20253164556962025,0.12658227848101267,0.0,0.0,0.0,0.0,0.0,0.042897327707454296,0.0444365760821457,0.5443037974683544,1.0,0.012658227848101266,0.0,0.6582278481012658,0.0,0.0,0.0,0.0379746835443038,0.0
Sample605.mdl,0.0,0.0,0.0,0.0,0.1,0.1,0.03333333333333333,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.05444444444444444,0.059673659673659674,1.0,0.8333333333333334,0.03333333333333333,0.0,0.4666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0
Sample606.mdl,0.0,0.0,0.0,0.0,0.07317073170731708,0.1951219512195122,0.024390243902439025,0.1951219512195122,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.06287262872628727,0.06566604127579738,0.8536585365853658,1.0,0.024390243902439025,0.0,0.5609756097560976,0.0,0.0,0.0,0.04878048780487805,0.0
Sample607.mdl,0.0,0.0,1.0,0.0,1.0,0.375,0.0625,0.375,0.375,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0625,0.0
Sample608.mdl,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.12903225806451613,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.05232974910394265,0.05707196029776675,1.0,0.8387096774193548,0.03225806451612903,0.0,0.4838709677419355,0.0,0.0,0.0,0.03225806451612903,0.0
Sample609.mdl,0.0,0.0,0.029411764705882353,0.0,0.07352941176470588,0.1764705882352941,0.014705882352941176,0.1764705882352941,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0638888888888889,0.06365693130399012,0.6176470588235294,1.0,0.014705882352941176,0.0,0.7205882352941176,0.0,0.0,0.0,0.058823529411764705,0.0
